Lat;Long;Lugar;Dirección;Barrio;Cooperativa;Día y Horario;material
-34,59091866;-58,50099675;PLAZA MARTIN RODRIGUEZ;HABANA y ARGERICH;VILLA PUEYRREDON;Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo;Martes a Sábado de 11 a 17 hs.;telgopor
-34,56000914;-58,48764335;PLAZA ALBERDI;LARRALDE, CRISOLOGO AV. y ACHA, MARIANO GRAL.;SAAVEDRA;Cooperativa de Trabajo Las Madreselvas;Martes a Sábado de 11 a 17 hs.;glass
-34,63273982;-58,45533359;PLAZA DE LA MISERICORDIA;LAUTARO y BILBAO, FRANCISCO;FLORES;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;metal
-34,61138838;-58,39789749;PLAZA 1RO DE MAYO;YRIGOYEN, HIPOLITO y PASCO;BALVANERA;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;plastic
-34,58032653;-58,46310069;PLAZA 25 DE AGOSTO;CHARLONE y HEREDIA;VILLA OTUZAR;Cooperativa de Trabajo Amanecer de los Cartoneros;Martes a Sábado de 11 a 17 hs.;metal
-34,59091866;-58,50099675;PLAZA MARTIN RODRIGUEZ;HABANA y ARGERICH;VILLA PUEYRREDON;Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo;Martes a Sábado de 11 a 17 hs.;glass
-34,62888489;-58,49356487;PLAZA DE LA BANDERA;JUSTO, JUAN B. AV. y GAONA AV.;VELEZ SARSFIELD;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;hazardous
-34,63559491;-58,48250294;PLAZA CORONEL RAMON FALCON;FALCON, RAMON L. CNEL. y BENEDETTI, OSVALDO E. DIP. NAC.;VELEZ SARSFIELD;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;metal
-34,54941879;-58,4619668;ESTACIÓN NUÑEZ;GRECIA y PEDRAZA MANUELA;NUÑEZ;Cooperativa de Trabajo Las Madreselvas;Martes a Sábado de 11 a 17 hs.;metal
-34,61749012;-58,43419275;PARQUE RIVADAVIA;RIVADAVIA AV. y BALCARCE, FLORENCIO;CABALLITO;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;cardboard
-34,60644587;-58,43305061;PARQUE CENTENARIO;PATRICIAS ARGENTINAS AV. y ROENTGEN AV.;CABALLITO;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;paper
-34,62217752;-58,37586303;PLAZA ROSARIO VERA PEÑALOZZA;SAN JUAN AV. y CHACABUCO;SAN TELMO;Cooperativa de Trabajo Cartonera del Sur;Martes a Sábado de 11 a 17 hs.;hazardous
-34,54910468;-58,44207304;PASEO DE LAS AMERICAS;RAMSAY y BLANCO ENCALADA;BELGRANO;Cooperativa de Trabajo Las Madreselvas;Martes a Sábado de 11 a 17 hs.;glass
-34,61363122;-58,40601951;PLAZA MANZANA 66;MORENO y JUJUY AV.;BALVANERA;Cooperativa de Trabajo Amanecer de los Cartoneros;Martes a Sábado de 11 a 17 hs.;electronics
-34,65734856;-58,52042836;PLAZA ROMULO ZABALA;ERCILLA 7502;MATADEROS;Cooperativa de Provisión de Servicios para Recolectores del Oeste;Martes a Sábado de 11 a 17 hs.;paper
-34,55364323;-58,49750646;PLAZOLETA BALBIN;BALBIN, RICARDO DR. AV. y ARIAS;SAAVEDRA;Cooperativa de Trabajo Las Madreselvas;Martes a Sábado de 11 a 17 hs.;electronics
-34,58032653;-58,46310069;PLAZA 25 DE AGOSTO;CHARLONE y HEREDIA;VILLA OTUZAR;Cooperativa de Trabajo Amanecer de los Cartoneros;Martes a Sábado de 11 a 17 hs.;cardboard
-34,60038042;-58,51259389;PLAZA ARENALES;NUEVA YORK y MERCEDES;VILLA DEVOTO;Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo;Martes a Sábado de 11 a 17 hs.;plastic
-34,61020036;-58,46807858;PLAZA ROQUE SAENZ PEÑA;ESCALADA DE SAN MARTIN, R. y BOYACA;VILLA GENERAL MITRE;Cooperativa de Trabajo Amanecer de los Cartoneros;Martes a Sábado de 11 a 17 hs.;tetrabrik
-34,63327729;-58,52160413;CARREFOUR J B JUSTO;ALVAREZ JONTE AV. y PARÍS;VERSALLES;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;plastic
-34,62888489;-58,49356487;PLAZA DE LA BANDERA;JUSTO, JUAN B. AV. y GAONA AV.;VELEZ SARSFIELD;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;electronics
-34,59190938;-58,44926227;PARQUE LOS ANDES;DORREGO AV. y GUZMAN;CHACARITA;Cooperativa de Trabajo Amanecer de los Cartoneros;Martes a Sábado de 11 a 17 hs.;electronics
-34,64305865;-58,4817507;PARQUE AVELLANEDA;DIRECTORIO AV. y FERNANDEZ;PARQUE AVELLANEDA;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;paper
-34,65080223;-58,52700333;PLAZA SARGENTO CABRAL;SUAREZ, JOSE LEON y MARTINEZ DE HOZ;LINIERS;Cooperativa de Provisión de Servicios para Recolectores del Oeste;Martes a Sábado de 11 a 17 hs.;paper
-34,62639329;-58,5085446;PLAZA DON BOSCO;LOPE DE VEGA AV. y GONZALEZ, ELPIDIO;MONTE CASTRO;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;clothes
-34,59870813;-58,39135498;PLAZA PETRONILA RODRIGUEZ;RODRIGUEZ PEÑA y PARAGUAY;RECOLETA;Cooperativa de Provisión de Servicios para Recolectores el Ceibo;Martes a Sábado de 11 a 17 hs.;hazardous
-34,66418617;-58,51443667;CARREFOUR MATADEROS;PAZ, GRAL. AV. 12950;MATADEROS;Cooperativa de Provisión de Servicios para Recolectores del Oeste;Martes a Sábado de 11 a 17 hs.;electronics
-34,62150581;-58,45615431;PLAZA ANGEL GRIS;AVELLANEDA AV. y CALCENA;FLORES;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;metal
-34,62805887;-58,52056358;PLAZA CIUDAD DE BANFF;ARREGUI AV. y LISBOA;VERSALLES;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;telgopor
-34,58850113;-58,39776437;PLAZA EMILIO MITRE;LAS HERAS GENERAL AV. y CANTILO;RECOLETA;Cooperativa de Trabajo Amanecer de los Cartoneros;Martes a Sábado de 11 a 17 hs.;metal
-34,65734856;-58,52042836;PLAZA ROMULO ZABALA;ERCILLA 7502;MATADEROS;Cooperativa de Provisión de Servicios para Recolectores del Oeste;Martes a Sábado de 11 a 17 hs.;plastic
-34,63469853;-58,4637732;PLAZA 11 DE NOVIEMBRE;DIRECTORIO AV. e ITALIA;FLORES;Cooperativa de Trabajo de Recuperadores Urbanos del Oeste;Martes a Sábado de 11 a 17 hs.;electronics
-34,56180412;-58,45468264;PLAZA MANUEL BELGRANO;CUBA y JURAMENTO AV.;BELGRANO;Cooperativa de Trabajo Las Madreselvas;Martes a Sábado de 11 a 17 hs.;tetrabrik
